zone,pixel_id,universe,channel,cat_x,cat_y,cat_z,x_norm,y_norm,z_norm
main-arch,241,41,4,-11.0900,0.3104,2.8274,0.0460,0.0137,0.6855
main-arch,242,41,7,-11.0900,0.4099,2.8274,0.0460,0.0191,0.6855
main-arch,243,41,10,-11.0900,0.5094,2.8274,0.0460,0.0245,0.6855
main-arch,244,41,13,-11.0900,0.6089,2.8274,0.0460,0.0299,0.6855
main-arch,245,41,16,-11.0900,0.7084,2.8273,0.0460,0.0352,0.6855
main-arch,246,41,19,-11.0900,0.8079,2.8273,0.0460,0.0406,0.6855
main-arch,247,41,22,-11.0900,0.9075,2.8273,0.0460,0.0460,0.6855
main-arch,248,41,25,-11.0900,1.0070,2.8273,0.0460,0.0514,0.6855
main-arch,249,41,28,-11.0900,1.1065,2.8273,0.0460,0.0568,0.6855
main-arch,250,41,31,-11.0900,1.2060,2.8273,0.0460,0.0622,0.6855
main-arch,251,41,34,-11.0900,1.3055,2.8273,0.0460,0.0676,0.6855
main-arch,252,41,37,-11.0900,1.4050,2.8273,0.0460,0.0730,0.6855
main-arch,253,41,40,-11.0900,1.5046,2.8273,0.0460,0.0784,0.6855
main-arch,254,41,43,-11.0900,1.6041,2.8272,0.0460,0.0838,0.6855
main-arch,255,41,46,-11.0900,1.7036,2.8272,0.0460,0.0892,0.6855
main-arch,256,41,49,-11.0900,1.8031,2.8272,0.0460,0.0946,0.6855
main-arch,257,41,52,-11.0900,1.9026,2.8272,0.0460,0.1000,0.6855
main-arch,258,41,55,-11.0900,2.0021,2.8272,0.0460,0.1054,0.6855
main-arch,259,41,58,-11.0900,2.1016,2.8272,0.0460,0.1108,0.6855
main-arch,260,41,61,-11.0900,2.2012,2.8272,0.0460,0.1162,0.6855
main-arch,261,41,64,-11.0900,2.3007,2.8272,0.0460,0.1215,0.6855
main-arch,262,41,67,-11.0900,2.4002,2.8272,0.0460,0.1269,0.6855
main-arch,263,41,70,-11.0900,2.4997,2.8271,0.0460,0.1323,0.6855
main-arch,264,41,73,-11.0900,2.5992,2.8271,0.0460,0.1377,0.6855
main-arch,265,41,76,-11.0900,2.6987,2.8271,0.0460,0.1431,0.6855
main-arch,266,41,79,-11.0900,2.7983,2.8271,0.0460,0.1485,0.6855
main-arch,267,41,82,-11.0900,2.8978,2.8271,0.0460,0.1539,0.6855
main-arch,268,41,85,-11.0900,2.9973,2.8271,0.0460,0.1593,0.6855
main-arch,269,41,88,-11.0900,3.0968,2.8271,0.0460,0.1647,0.6855
main-arch,270,41,91,-11.0900,3.1963,2.8271,0.0460,0.1701,0.6855
main-arch,271,41,94,-11.0900,3.2958,2.8271,0.0460,0.1755,0.6855
main-arch,272,41,97,-11.0900,3.3954,2.8271,0.0460,0.1809,0.6855
main-arch,273,41,100,-11.0900,3.4949,2.8270,0.0460,0.1863,0.6855
main-arch,274,41,103,-11.0900,3.5944,2.8270,0.0460,0.1917,0.6855
main-arch,275,41,106,-11.0900,3.6939,2.8270,0.0460,0.1971,0.6855
main-arch,276,41,109,-11.0900,3.7934,2.8270,0.0460,0.2024,0.6855
main-arch,277,41,112,-11.0900,3.8929,2.8270,0.0460,0.2078,0.6855
main-arch,278,41,115,-11.0900,3.9924,2.8270,0.0460,0.2132,0.6855
main-arch,279,41,118,-11.0900,4.0920,2.8270,0.0460,0.2186,0.6855
main-arch,280,41,121,-11.0900,4.1915,2.8270,0.0460,0.2240,0.6855
main-arch,281,41,124,-11.0900,4.2910,2.8270,0.0460,0.2294,0.6855
main-arch,282,41,127,-11.0900,4.3905,2.8269,0.0460,0.2348,0.6854
main-arch,283,41,130,-11.0900,4.4900,2.8269,0.0460,0.2402,0.6854
main-arch,284,41,133,-11.0900,4.5895,2.8269,0.0460,0.2456,0.6854
main-arch,285,41,136,-11.0900,4.6891,2.8269,0.0460,0.2510,0.6854
main-arch,286,41,139,-11.0900,4.7886,2.8269,0.0460,0.2564,0.6854
main-arch,287,41,142,-11.0900,4.8881,2.8269,0.0460,0.2618,0.6854
main-arch,288,41,145,-11.0900,4.9876,2.8269,0.0460,0.2672,0.6854
main-arch,289,41,148,-11.0900,5.0871,2.8269,0.0460,0.2726,0.6854
main-arch,290,41,151,-11.0900,5.1866,2.8269,0.0460,0.2780,0.6854
main-arch,291,41,154,-11.0900,5.2861,2.8268,0.0460,0.2833,0.6854
main-arch,292,41,157,-11.0900,5.3857,2.8268,0.0460,0.2887,0.6854
main-arch,293,41,160,-11.0900,5.4852,2.8268,0.0460,0.2941,0.6854
main-arch,294,41,163,-11.0900,5.5847,2.8268,0.0460,0.2995,0.6854
main-arch,295,41,166,-11.0900,5.6842,2.8268,0.0460,0.3049,0.6854
main-arch,296,41,169,-11.0900,5.7837,2.8268,0.0460,0.3103,0.6854
main-arch,297,41,172,-11.0900,5.8832,2.8268,0.0460,0.3157,0.6854
main-arch,298,41,175,-11.0900,5.9828,2.8268,0.0460,0.3211,0.6854
main-arch,299,41,178,-11.0900,6.0823,2.8268,0.0460,0.3265,0.6854
main-arch,300,41,181,-11.0900,6.1810,2.8150,0.0460,0.3319,0.6848
main-arch,301,41,184,-11.0900,6.2795,2.8010,0.0460,0.3372,0.6839
main-arch,302,41,187,-11.0900,6.3780,2.7871,0.0460,0.3425,0.6831
main-arch,303,41,190,-11.0900,6.4764,2.7722,0.0460,0.3479,0.6823
main-arch,304,41,193,-11.0900,6.5740,2.7529,0.0460,0.3531,0.6811
main-arch,305,41,196,-11.0900,6.6716,2.7336,0.0460,0.3584,0.6800
main-arch,306,41,199,-11.0900,6.7678,2.7081,0.0460,0.3637,0.6785
main-arch,307,41,202,-11.0900,6.8635,2.6807,0.0460,0.3688,0.6769
main-arch,308,41,205,-11.0900,6.9588,2.6520,0.0460,0.3740,0.6753
main-arch,309,41,208,-11.0900,7.0525,2.6186,0.0460,0.3791,0.6733
main-arch,310,41,211,-11.0900,7.1465,2.5859,0.0460,0.3842,0.6714
main-arch,311,41,214,-11.0900,7.2398,2.5516,0.0460,0.3892,0.6694
main-arch,312,41,217,-11.0900,7.3302,2.5101,0.0460,0.3941,0.6670
main-arch,313,41,220,-11.0900,7.4221,2.4720,0.0460,0.3991,0.6648
main-arch,314,41,223,-11.0900,7.5129,2.4313,0.0460,0.4040,0.6624
main-arch,315,41,226,-11.0900,7.6011,2.3851,0.0460,0.4088,0.6598
main-arch,316,41,229,-11.0900,7.6886,2.3378,0.0460,0.4136,0.6570
main-arch,317,41,232,-11.0900,7.7754,2.2891,0.0460,0.4183,0.6542
main-arch,318,41,235,-11.0900,7.8613,2.2388,0.0460,0.4229,0.6512
main-arch,319,41,238,-11.0900,7.9462,2.1870,0.0460,0.4275,0.6482
main-arch,320,41,241,-11.0900,8.0293,2.1322,0.0460,0.4320,0.6450
